Id,SalePrice
1461,126773.6749092694
1462,150558.2695315765
1463,174792.69721013744
1464,180070.6592774243
1465,201033.73632339516
1466,179658.45110441546
1467,163593.52028022238
1468,177057.5489873504
1469,183279.36353757224
1470,122874.35600523117
1471,195569.58474007912
1472,100339.15004009771
1473,104887.06099096249
1474,159556.2853897716
1475,156594.63574955147
1476,401787.2140636934
1477,256089.73921472495
1478,301762.4050134605
1479,258690.44745893573
1480,452308.7337701422
1481,304213.01194777066
1482,214024.88815103812
1483,174477.5488177256
1484,180773.32206589417
1485,176256.66055515822
1486,199558.46524187937
1487,322767.90882422315
1488,242809.88913285165
1489,203670.92854473935
1490,186382.06264096778
1491,192707.4187564808
1492,101001.46168461666
1493,174538.5400421083
1494,296254.7896906167
1495,288324.7412392301
1496,220074.75800344135
1497,192919.68681849565
1498,154047.29498779192
1499,154783.49807137498
1500,144696.77294313884
1501,174822.22231324427
1502,175699.64085968919
1503,287650.67295628437
1504,233328.672615047
1505,209501.0233767434
1506,181537.3058363268
1507,219899.36659259736
1508,197926.84811983025
1509,167418.78098721305
1510,152360.67502863318
1511,152301.8824388249
1512,168780.6769205297
1513,162820.57412773703
1514,159164.37020638215
1515,175122.83110705257
1516,170208.97470553825
1517,148430.98872139584
1518,132848.434859226
1519,217238.4984213057
1520,140507.4142375364
1521,147756.08494806063
1522,167443.48428001322
1523,115647.50970011773
1524,122718.39765357236
1525,127798.343470562
1526,130539.27417896807
1527,103262.00271584628
1528,124414.79241394364
1529,145112.93143408286
1530,167017.9205613332
1531,129269.87364870078
1532,112277.47581873444
1533,151410.74872407902
1534,116220.85106693693
1535,153463.1231027207
1536,117405.05551387176
1537,79564.3597201134
1538,192642.42457670852
1539,248873.535552362
1540,111036.15253946136
1541,159048.6507805747
1542,146563.99316748529
1543,224488.2730333495
1544,86243.06062815725
1545,109523.94069295474
1546,121411.2701037536
1547,142906.07366646623
1548,137871.96625282915
1549,115234.15657096915
1550,146945.724745593
1551,121735.05262612099
1552,145857.64943842767
1553,140636.3352478443
1554,113609.36696039145
1555,169558.7060220091
1556,102892.88999804798
1557,130717.42221646632
1558,95394.37390623335
1559,114135.8098337929
